# Популярные русскоязычные Telegram каналы по категориям
# Формат: username,title,category,subcategories

# ========== IT & ТЕХНОЛОГИИ (50 каналов) ==========
sochi_news,Sochi News,news,local
vladivostok_news,Vladivostok News,news,local
economy_news,Economy News,news,economy
finance_news,Finance News,news,economy
tech_news,Tech News,news,technology
sport_news,Sport News,news,sport
weather_news,Weather News,news,weather

# ========== КРИПТОВАЛЮТЫ (25 каналов) ==========
cryptonews_ru,Crypto News Russia,crypto,news
bitcoin_ru,Bitcoin Russia,crypto,bitcoin
ethereum_ru,Ethereum Russia,crypto,ethereum
defi_ru,DeFi Russia,crypto,defi
nft_ru,NFT Russia,crypto,nft
web3_ru,Web3 Russia,crypto,web3
blockchain_ru,Blockchain Russia,crypto,blockchain
binance_ru,Binance Russia,crypto,exchange
bybit_ru,Bybit Russia,crypto,exchange
okx_ru,OKX Russia,crypto,exchange
huobi_ru,Huobi Russia,crypto,exchange
gate_io_ru,Gate.io Russia,crypto,exchange
kucoin_ru,KuCoin Russia,crypto,exchange
mexc_ru,MEXC Russia,crypto,exchange
bitget_ru,Bitget Russia,crypto,exchange
trading_view_ru,TradingView Russia,crypto,trading
crypto_signals,Crypto Signals,crypto,signals
whale_alert_ru,Whale Alert Russia,crypto,analytics
glassnode_ru,Glassnode Russia,crypto,analytics
coinglass_ru,CoinGlass Russia,crypto,analytics
coinmarketcap_ru,CoinMarketCap Russia,crypto,analytics
cryptorank_ru,CryptoRank Russia,crypto,analytics
investing_crypto,Investing Crypto,crypto,analytics
coin_telegraph_ru,CoinTelegraph Russia,crypto,news
forklog,Forklog,crypto,news
